title,keywords
Python-разработчик,"['django', 'фреймворками', 'flask', 'rest', 'fastapi']"
Junior backend разработчик,"['программирование', 'язык', 'go', 'java', 'опыт']"
Backend-разработчик,"['pydantic', 'backend', 'sqlalchemy', 'postgresql', 'redis']"
Тестировщик ПО (QA Engineer),"['cypress', 'playwright', 'selenium', 'pytest', 'javascript']"
Продуктовый аналитик в Krisha.kz (Middle),"['бизнес', 'задач', 'аналитика', 'применение', 'решение']"
QA engineer / Тестировщик,"['linux', 'автотестов', 'git', 'sql', 'плюс']"
Аналитик в команду транспортной логистики,"['анализ', 'джойны', 'функция', 'библиотека', 'использование']"
Тестировщик,"['пайплайнах', 'запуск', 'чтение', 'строка', 'настройка']"
Manual QA Engineer (Middle),"['среда', 'способность', 'желание', 'готовность', 'технология']"
Web-программист - стажер,"['авто', 'аукцион', 'игрок', 'онлайн', 'ситуация']"
QA Engineer,"['методология', 'составление', 'тестирование', 'кейс', 'тест']"
Frontend-разработчик (Middle),"['nginx', 'владение', 'bdd', 'tdd', 'техник']"
Заместитель директора департамента информационных технологий,"['wireguard', 'terraform', 'устройство', 'grafana', 'zabbix']"
Специалист по работе с геоданными,"['данных', 'анализ', 'автоматизация', 'analysis', 'конвертация']"
Junior Python-developer (Python разработчик),"['фреймворков', 'веб', 'rest', 'код', 'api']"
Java разработчик (Java+SpringBoot+Kotlin),"['greenplum', 'apache', 'airflow', 'контроль', 'версия']"
Python-разработчик (Fastapi),"['переход', 'стек', 'готовность', 'разработка', 'год']"
Аналитик,"['сми', 'ms', 'способность', 'мышление', 'пользователь']"
Frontend-разработчик,"['next', 'верстка', 'дизайнер', 'макет', 'react']"
Аналитик данных (стажер),"['аккуратность', 'мотивация', 'системность', 'старт', 'таблицами']"
Fullstack тестировщик (Middle),"['html', 'http', 'реализация', 'json', 'год']"
Middle QA-инженер,"['техника', 'теория', 'команда', 'тестирование', 'навык']"
Аналитик данных (Data analyst),"['cte', 'частность', 'airflow', 'оптимизация', 'функция']"
Инженер по тестированию ПО,"['тестирование', 'проведение', 'backend', 'приложение', 'опыт']"
Python-разработчик,"['beautifulsoup', 'парсинга', 'веб', 'aiohttp', 'playwright']"
Старший QA инженер,"['платформами', 'структура', 'javascript', 'основа', 'sql']"
Продуктовый аналитик,"['скиллы', 'функция', 'запрос', 'анализ', 'владение']"
Python-разработчик (Junior),"['mysql', 'git', 'redis', 'docker', 'знание']"
QA engineer,"['ethernet', 'ip', 'profibus', 'profinet', 'пневматика']"
Rust разработчик,"['smtp', 'tcp', 'http', 'работа', 'протокол']"
Инженер-программист,"['схема', 'документация', 'логика', 'javascript', 'программирование']"
Младший аналитик,"['область', 'данными', 'технология', 'образование', 'владение']"
Руководитель отдела обеспечения качества (QA)/QA Lead,"['год', 'управление', 'образование', 'тестирование', 'опыт']"
Senior Python developer,"['паттерн', 'алгоритм', 'проектирование', 'код', 'умение']"
Junior Python-разработчик,"['работа', 'flask', 'основа', 'база', 'fastapi']"
QA engineer,"['ethernet', 'ip', 'profibus', 'profinet', 'пневматика']"
Тестировщик,"['оператор', 'циклы', 'метод', 'понимание', 'строка']"
Программист-разработчик (Python),"['программа', 'управление', 'задача', 'проект', 'flask']"
Middle data scientist (маркетинг),"['lightgbm', 'learn', 'scikit', 'модель', 'highlighttext']"
Junior Data Engineer,"['мышление', 'команда', 'умение', 'тестирование', 'знание']"
Заместитель директора IT департамента (CTO),"['менеджмент', 'руководитель', 'должность', 'сфера', 'образование']"
Дата Саентист (Data Scientist),"['engineering', 'feature', 'learn', 'метод', 'scikit']"
Backend-разработчик (junior),"['язык', 'ws', 'http', 'сеть', 'администрирование']"
QA-инженер (Manual/auto),"['curl', 'тестирование', 'postman', 'тест', 'автоматизация']"
Middle Backend Разработчик,"['код', 'ai', 'aiohttp', 'aioredis', 'airflow']"
Программист Unity,"['движок', 'желательно', 'язык', 'perl', 'паттерн']"
Аналитик DWH,"['knowledge', 'collaborate', 'external', 'good', 'internal']"
Junior Python Developer,"['development', 'focused', 'on', 'perfectly', 'role']"
Аналитик SOC/L2 (ИБ),"['преимущество', 'offensive', 'sans', 'сертификация', 'наличие']"
Backend-разработчик,"['go', 'строка', 'php', 'java', 'основа']"
QA-инженер/Тестировщик (мобильные приложения),"['design', 'guidelines', 'kotlin', 'studio', 'swift']"
Младший аналитик данных (Junior Data Analyst),"['диаграмма', 'данными', 'пользователь', 'таблица', 'образование']"
Python-разработчик (Django) Junior,"['деталь', 'наставник', 'присмотр', 'самостоятельность', 'внимательность']"
Аналитик,"['использование', 'число', 'чтение', 'функция', 'запрос']"
Тестировщик ПО (QA инженер),"['методика', 'тестирование', 'дизайн', 'тест', 'инструмент']"
Senior QA Engineer,"['бэкграунд', 'тест', 'процесс', 'код', 'написание']"
Программист,"['ai', 'aiohttp', 'aioredis', 'airflow', 'alerting']"
Python-разработчик,"['экосистема', 'bot', 'telegram', 'бот', 'строка']"
Middle Python-разработчик,"['год', 'rest', 'api', 'принцип', 'работа']"
Manual QA Engineer (тестировщик),"['cd', 'готовность', 'ci', 'инструмент', 'основа']"
Тестировщик,"['этап', 'ведение', 'typescript', 'cd', 'автотестов']"
Аналитик данных (BI-аналитик),"['bi', 'looker', 'tableau', 'power', 'владение']"
QA Engineer,"['автоматизация', 'requests', 'желание', 'команда', 'умение']"
Аналитик данных (Data Analyst),"['бизнес', 'функция', 'запрос', 'numpy', 'инструмент']"
Backend-разработчик (Django + DRF),"['docker', 'gitalb', 'compose', 'highlighttext', 'celery']"
Go разработчик на платформу контейнерной оркестрации,"['провайдер', 'яндекс', 'развитие', 'стремление', 'опыт']"
Python-разработчик,"['навык', 'clickhouse', 'бд', 'pydantic', 'celery']"
Python-разработчик,"['мессенджер', 'нуль', 'бот', 'создание', 'опыт']"
Backend-разработчик / Backend Developer,"['версия', 'flask', 'фреймворк', 'код', 'fastapi']"
Junior Python разработчик чат-ботов,"['ооп', 'опыт', 'основа', 'django', 'работа']"
Консультант отдела IT,"['бакалавриат', 'информатика', 'радиотехник', 'специальность', 'электроника']"
Backend-разработчик,"['база', 'знание', 'данных', 'highlighttext', 'работа']"
Front-end / Back-end / Full-stack разработчики,"['full', 'stack', 'бэком', 'фронт', 'требование']"
Разработчик Django / Python,"['применение', 'проект', 'принцип', 'опыт', 'понимание']"
Менеджер по анализу больших данных (Junior; срочный договор на 4 месяца),"['pep', 'структура', 'качество', 'стандарт', 'алгоритм']"
IT - Project manager,"['figma', 'kanban', 'бекграунд', 'ооп', 'excel']"
Middle Python разработчик,"['разработка', 'архитектура', 'приложение', 'область', 'технология']"
Data аналитик,"['навык', 'ведение', 'проект', 'умение', 'язык']"
Инженер по тестированию (Middle),"['приоритет', 'инструмент', 'уровень', 'знание', 'программирование']"
Веб-разработчик сайта,"['node', 'js', 'php', 'cd', 'ci']"
Python Разработчик,"['httpx', 'restful', 'requests', 'создание', 'api']"
Аналитик данных,"['sheets', 'формула', 'matplotlib', 'google', 'таблица']"
Data Analyst,"['отчёты', 'таблица', 'преимущество', 'numpy', 'pandas']"
Учитель по IT,"['microsoft', 'office', 'аз', 'речь', 'язык']"
Python-разработчик,"['asyncpg', 'psycopg', 'sqlalchemy', 'pandas', 'работа']"
Тестировщик (QA инженер),"['тест', 'скрипт', 'написание', 'автоматизация', 'работа']"
Python-разработчик FastAPI,"['стек', 'готовность', 'разработка', 'год', 'highlighttext']"
Python-разработчик,"['threading', 'профилирование', 'экспертиза', 'asyncio', 'решение']"
Python разработчика,"['умение', 'стандарт', 'postgresql', 'использование', 'код']"
Инженер по тестированию,"['web', 'ui', 'цикл', 'понимание', 'архитектура']"
Backend-разработчик,"['restful', 'плюс', 'api', 'программирование', 'владение']"
Backend-разработчик,"['структура', 'алгоритм', 'команда', 'django', 'программирование']"
Программист Python / Разработчик Python,"['mssql', 'mysql', 'субд', 'drf', 'sqlalchemy']"
Специалист по тестированию,"['unittest', 'компетентность', 'обеспечение', 'этап', 'разработка']"
Технический директор (CTO),"['pm', 'инфраструктура', 'devops', 'человек', 'kafka']"
Python backend developer,"['flask', 'использование', 'фреймворк', 'fastapi', 'django']"
Python разработчик,"['приложение', 'интеграция', 'взаимодействие', 'разработка', 'база']"
Инженер по тестированию,"['тестирование', 'дизайн', 'техник', 'теория', 'тест']"
Golang-разработчик,"['коллега', 'внедрение', 'нуль', 'ведение', 'способность']"
Golang разработчик (middle),"['концепция', 'шаблон', 'понимание', 'реализация', 'проектирование']"
Продуктовый аналитик,"['analytics', 'appannie', 'appsflyer', 'bigquery', 'deductor']"
Python-разработчик,"['реализациями', 'поиск', 'бд', 'программирование', 'опыт']"
Backend-разработчик,"['django', 'ninja', 'разработчик', 'drf', 'знание']"
Backend-разработчик / Backend Developer,"['версия', 'flask', 'фреймворк', 'код', 'fastapi']"
"Junior python разработчик (Django, Fast API)","['css', 'vscode', 'html', 'программа', 'linux']"
Специалист отдела аналитики,"['freshdesk', 'intercom', 'zendesk', 'поддержка', 'matplotlib']"
Python-разработчик,"['modbus', 'mqtt', 'highlighttext', 'протокол', 'python']"
QA инженер,"['автотестов', 'преимущество', 'скрипт', 'основа', 'система']"
Middle QA auto engineer,"['allure', 'год', 'requests', 'selenium', 'pytest']"
Специалист по технической поддержке (учетно-регистрационной деятельности) г. Красноярск,"['контейнеризация', 'нотация', 'kubernetes', 'знакомство', 'технология']"
Инженер по тестированию,"['shell', 'confluence', 'jira', 'контроль', 'версия']"
Senior Frontend Developer / Старший фронтенд-разработчик,"['material', 'ui', 'опыт', 'разработка', 'год']"
Разработчик,"['api', 'code', 'integromat', 'make', 'no']"
Senior Backend Developer / Старший бэкенд-разработчик,"['django', 'asyncio', 'sqlalchemy', 'postgresql', 'flask']"
Инженер-сборщик FPV дронов,"['бпла', 'дрон', 'сборка', 'тип', 'преимущество']"
Руководитель проекта развития цифровых решений,"['видение', 'продукт', 'менеджер', 'развитие', 'качество']"
Инженер QA,"['appium', 'jmeter', 'приоритет', 'selenium', 'автоматизация']"
Python-разработчик/программист,"['база', 'система', 'программирование', 'язык', 'данных']"
Директор по стратегическому развитию и маркетингу,"['optimacros', 'платформа', 'алгоритм', 'excel', 'преимущество']"
Инженер данных,"['pyspark', 'apache', 'поддержка', 'airflow', 'sql']"
Python разработчик,"['pytorch', 'tensorflow', 'aiohttp', 'asyncio', 'асинхронность']"
Frontend-разработчик,"['elixir', 'erlang', 'репозиторий', 'golang', 'backend']"
Инженер по тестированию,"['архитектура', 'желание', 'плюс', 'highlighttext', 'знание']"
Ведущий аналитик данных (DWH Lead),"['governance', 'глоссарий', 'data', 'качество', 'построение']"
DevOps Engineer Intern,"['and', 'alerting', 'for', 'languages', 'like']"
Python-разработчик,"['cli', 'jsonl', 'openai', 'модель', 'json']"
Системный аналитик,"['sql', 'база', 'образование', 'плюс', 'принцип']"
Тестировщик игр,"['умение', 'lua', 'геймдизайне', 'представление', 'база']"
Тестировщик QA,"['документация', 'требование', 'принцип', 'программирование', 'умение']"
Junior Python Developer,"['виртуализации', 'компонент', 'взаимодействие', 'платформами', 'backend']"
Python-разработчик (Казань),"['направление', 'библиотека', 'pandas', 'база', 'образование']"
Специалист техподдержки L2,"['желание', 'технология', 'скрипт', 'умение', 'понимание']"
Java-разработчик (Инвестиционный бизнес),"['spring', 'boot', 'core', 'framework', 'разработка']"
Backend-разработчик,"['аутентификация', 'бд', 'модель', 'построение', 'rest']"
Python-разработчик,"['исключение', 'поток', 'синтаксис', 'типизация', 'условие']"
Python Dev (middle)/Backend Developer (Python)/Python разработчик/Backend python developer,"['индекс', 'framework', 'aiohttp', 'celery', 'postgresql']"
Разработчик бэк-энда Python для AI проектов,"['skills', 'and', 'data', 'aws', 'communication']"
Системный администратор,"['powershell', 'сертификат', 'внимательность', 'ответственность', 'администрирование']"
Frontend-разработчик Vue (PWA),"['бэкенд', 'микросервисы', 'разработка', 'технология', 'скрипт']"
Продуктовый аналитик отдела управление лайфстайл экосистемы,"['событие', 'клиент', 'трекинг', 'схема', 'визуализация']"
Junior Python-разработчик,"['mavlink', 'язык', 'ws', 'http', 'сеть']"
Python-разработчик,"['pyautogui', 'брокер', 'сообщение', 'pydantic', 'библиотека']"
Младший аналитик данных,"['данные', 'статистика', 'теория', 'обработка', 'анализ']"
Директор департамента Информационных Технологий,"['хранилище', 'оптимизация', 'реализация', 'проектирование', 'область']"
Специалист по информационной безопасности,"['защита', 'информация', 'безопасность', 'метод', 'область']"
Помошник ученого,"['pubmed', 'scholar', 'scopus', 'google', 'excel']"
Продуктовый аналитик в Kolesa.kz,"['бизнес', 'задач', 'аналитика', 'применение', 'решение']"
Python developer (Senior),"['cубд', 'mongo', 'очередь', 'mysql', 'postgres']"
Backend Developer (Python),"['rabbitmq', 'kafka', 'pydantic', 'celery', 'sqlalchemy']"
ML Разработчик,"['ai', 'ml', 'стажировка', 'библиотека', 'разработка']"
DevOps engineer,"['репозиториев', 'менеджер', 'стек', 'база', 'работа']"
Python-разработчик (vControl),"['мини', 'фреймворков', 'разработка', 'rest', 'api']"
Python разработчик (Middle),"['субд', 'опыт', 'django', 'работа', 'разработка']"
Junior Data Specialist,"['bi', 'данными', 'сфера', 'power', 'управление']"
Junior/Middle QA Engineer,"['an', 'as', 'concepts', 'familiarity', 'language']"
Младший системный администратор,"['компьютер', 'срок', 'требование', 'сеть', 'год']"
Web-разработчик Backend,"['ruby', 'php', 'программирование', 'язык', 'год']"
Junior developer (разработчик Phyton),"['портфолио', 'ооп', 'готовность', 'принцип', 'понимание']"
Senior Python Developer,"['ai', 'aiohttp', 'aioredis', 'airflow', 'alerting']"
QA тестировщик,"['ci', 'аналог', 'jenkins', 'настройка', 'cd']"
Тестировщик в области гражданской авиации,"['cd', 'ci', 'allure', 'jenkins', 'gitlab']"
DevOps Engineer,"['кластеризация', 'оптимизация', 'плюс', 'система', 'программирование']"
Инженер QA,"['appium', 'jmeter', 'приоритет', 'selenium', 'автоматизация']"
